Alexanderplatz:                   Alex
Zoologischer Garten:              Zoo
Kottbusser Tor:                   Kotti
Schlesisches Tor:                 Schlesi
Görlitzer Bahnhof:                Görli
Kurt-Schumacher-Platz:            Kurtschi
Kurfürstendamm:                   Ku'damm
Nollendorfplatz:                  Nolle
Wittenbergplatz:                  Witte
Theodor-Heuss-Platz:              Theo
Schöneweide:                      Schweineöde
Betriebsbahnhof Schöneweide:      Betriebsbahnhof Schweineöde
Hohenschönhausen:                 Hohenschöngrünkohl
Königs Wusterhausen:              KW
Ostkreuz:                         Rostkreuz
Leopoldplatz:                     Leo
Johannisthaler Chaussee:          Gropi
Gesundbrunnen:                    Plumpe

Zepernick (bei Bernau):           Zepernick
Hennigsdorf (bei Berlin):         Hennigsdorf
Hohen Neuendorf (b Berlin):       Hohen Neuendorf
Blankenfelde (Kr Teltow-Fläming): Blankenfelde
